structure d50
trjconv_1hsi_576.pdb 4.87017453486
trjconv_1hsi_641.pdb 4.63945039848
trjconv_1hsi_13.pdb 5.22933074112
trjconv_1hsi_24.pdb 4.74438615629
trjconv_1hsi_766.pdb 4.85528577944
trjconv_1hsi_637.pdb 5.53749040631
trjconv_1hsi_901.pdb 5.0948699689
trjconv_1hsi_447.pdb 4.90735162792
trjconv_1hsi_119.pdb 4.72383318926
trjconv_1hsi_521.pdb 5.27394539221
trjconv_1hsi_229.pdb 5.26936428803
trjconv_1hsi_257.pdb 5.49562553309
trjconv_1hsi_621.pdb 4.81303438591
trjconv_1hsi_313.pdb 4.84298461695
trjconv_1hsi_547.pdb 5.90572603496
trjconv_1hsi_987.pdb 4.75515509737
trjconv_1hsi_849.pdb 4.85156675724
trjconv_1hsi_163.pdb 5.63725110315
trjconv_1hsi_224.pdb 8.54508630735
trjconv_1hsi_761.pdb 5.62233047766
trjconv_1hsi_332.pdb 5.52454523015
trjconv_1hsi_794.pdb 4.61176755702
trjconv_1hsi_189.pdb 4.79391280688
trjconv_1hsi_90.pdb 4.87312015038
trjconv_1hsi_406.pdb 4.95874984245
trjconv_1hsi_26.pdb 4.94701930459
trjconv_1hsi_504.pdb 4.80768135383
trjconv_1hsi_930.pdb 4.62805574729
trjconv_1hsi_895.pdb 5.08149584276
trjconv_1hsi_850.pdb 4.33545845327
trjconv_1hsi_514.pdb 4.88418877604
trjconv_1hsi_85.pdb 4.96053424542
trjconv_1hsi_149.pdb 6.17268985127
trjconv_1hsi_318.pdb 5.01266396241
trjconv_1hsi_645.pdb 4.7500105263
trjconv_1hsi_430.pdb 5.45029357007
trjconv_1hsi_965.pdb 4.85429706549
trjconv_1hsi_168.pdb 4.44091206848
trjconv_1hsi_670.pdb 4.78027195879
trjconv_1hsi_208.pdb 5.06902357461
trjconv_1hsi_581.pdb 5.09227846843
trjconv_1hsi_520.pdb 5.06038536082
trjconv_1hsi_643.pdb 4.93896750344
trjconv_1hsi_251.pdb 5.48092145538
trjconv_1hsi_383.pdb 5.23020076097
trjconv_1hsi_84.pdb 5.13262116272
trjconv_1hsi_169.pdb 6.07701406943
trjconv_1hsi_619.pdb 6.5559362413
trjconv_1hsi_854.pdb 4.66230629624
trjconv_1hsi_148.pdb 5.59822293232
trjconv_1hsi_230.pdb 4.89850997753
trjconv_1hsi_58.pdb 4.55715920284
trjconv_1hsi_128.pdb 4.6532031978
trjconv_1hsi_593.pdb 5.35788204424
trjconv_1hsi_232.pdb 4.45170753756
trjconv_1hsi_354.pdb 5.11046964574
trjconv_1hsi_874.pdb 4.57782699542
trjconv_1hsi_159.pdb 5.51117954707
trjconv_1hsi_475.pdb 5.18101341438
trjconv_1hsi_426.pdb 4.87549997436
trjconv_1hsi_847.pdb 5.531699558
trjconv_1hsi_489.pdb 5.23298194149
trjconv_1hsi_268.pdb 4.81906629961
trjconv_1hsi_411.pdb 5.28246154742
trjconv_1hsi_741.pdb 4.93151092466
trjconv_1hsi_855.pdb 4.66554391256
trjconv_1hsi_64.pdb 5.36634885187
trjconv_1hsi_525.pdb 4.3749514283
trjconv_1hsi_983.pdb 4.52926042528
trjconv_1hsi_386.pdb 5.63950352425
trjconv_1hsi_607.pdb 5.15004854346
trjconv_1hsi_319.pdb 4.96347660416
trjconv_1hsi_75.pdb 4.86227313095
trjconv_1hsi_361.pdb 5.32264032225
trjconv_1hsi_934.pdb 4.66647618659
trjconv_1hsi_795.pdb 4.75539693401
trjconv_1hsi_231.pdb 4.56137040811
trjconv_1hsi_745.pdb 4.99168308289
trjconv_1hsi_740.pdb 4.60982646094
trjconv_1hsi_768.pdb 4.78520636964
trjconv_1hsi_753.pdb 5.04849482519
trjconv_1hsi_147.pdb 6.87640894654
trjconv_1hsi_5.pdb 4.98146564778
trjconv_1hsi_321.pdb 4.66651904528
trjconv_1hsi_574.pdb 5.42396533912
trjconv_1hsi_702.pdb 5.32429338035
trjconv_1hsi_11.pdb 5.47682389711
trjconv_1hsi_726.pdb 4.73896613197
trjconv_1hsi_572.pdb 5.73746459684
trjconv_1hsi_352.pdb 5.10366534953
trjconv_1hsi_759.pdb 4.61732606603
trjconv_1hsi_902.pdb 4.68370579776
trjconv_1hsi_710.pdb 4.61199522983
trjconv_1hsi_207.pdb 5.07809019219
trjconv_1hsi_68.pdb 5.11825165462
trjconv_1hsi_8.pdb 4.3062861029
trjconv_1hsi_828.pdb 5.42525575434
trjconv_1hsi_709.pdb 4.94397613263
trjconv_1hsi_662.pdb 4.41214233678
trjconv_1hsi_787.pdb 4.87772487949
trjconv_1hsi_655.pdb 5.07019723482
trjconv_1hsi_102.pdb 4.72010593101
trjconv_1hsi_909.pdb 5.38536906813
trjconv_1hsi_780.pdb 4.95085851141
trjconv_1hsi_630.pdb 4.6067884692
trjconv_1hsi_708.pdb 5.43048800754
trjconv_1hsi_404.pdb 4.69061829613
trjconv_1hsi_918.pdb 5.82018040957
trjconv_1hsi_20.pdb 5.43029465131
trjconv_1hsi_474.pdb 5.67557926559
trjconv_1hsi_756.pdb 5.24135478669
trjconv_1hsi_6.pdb 4.61320929506
trjconv_1hsi_422.pdb 4.68389794936
trjconv_1hsi_15.pdb 4.80529915822
trjconv_1hsi_689.pdb 4.71264257079
trjconv_1hsi_234.pdb 5.13385819828
trjconv_1hsi_519.pdb 4.60656053906
